from,to,Sm-144,Sm-147,Sm-148,Sm-149,Sm-150,Sm-152,Sm-154
299.666667,304.833333,5.2916E-03,1.3542E+00,6.1705E-02,1.1032E+02,6.8886E-01,5.6468E+00,7.3838E-02
304.833333,310,5.0491E-03,1.2897E+00,5.8739E-02,1.0560E+02,6.5695E-01,5.3738E+00,7.0343E-02
310,315.166667,4.8121E-03,1.2297E+00,5.6153E-02,1.0064E+02,6.2626E-01,5.1316E+00,6.7155E-02
315.166667,320.333333,4.5802E-03,1.1729E+00,5.3485E-02,9.6023E+01,5.9702E-01,4.9041E+00,6.4008E-02
320.333333,325.5,4.3741E-03,1.1171E+00,5.1072E-02,9.1799E+01,5.6827E-01,4.6632E+00,6.1059E-02
325.5,330.666667,4.1683E-03,1.0644E+00,4.8674E-02,8.7488E+01,5.4161E-01,4.4069E+00,5.8207E-02
330.666667,335.833333,3.9749E-03,1.0132E+00,4.6292E-02,8.3630E+01,5.1533E-01,4.2254E+00,5.5382E-02
335.833333,341,3.7771E-03,9.6357E-01,4.3998E-02,7.9246E+01,4.9014E-01,4.0087E+00,5.2649E-02
341,346.166667,3.5931E-03,9.1707E-01,4.1917E-02,7.5342E+01,4.6591E-01,3.8312E+00,5.0134E-02
346.166667,351.333333,3.4256E-03,8.7359E-01,3.9849E-02,7.1986E+01,4.4492E-01,3.6640E+00,4.7739E-02
351.333333,356.5,3.2696E-03,8.3105E-01,3.7796E-02,6.8801E+01,4.2323E-01,3.4927E+00,4.5290E-02
356.5,361.666667,3.1054E-03,7.9141E-01,3.5988E-02,6.5229E+01,4.0371E-01,3.3086E+00,4.3078E-02
361.666667,366.833333,2.9533E-03,7.5282E-01,3.4275E-02,6.1884E+01,3.8281E-01,3.1408E+00,4.1063E-02
366.833333,372,2.8103E-03,7.1698E-01,3.2568E-02,5.8983E+01,3.6578E-01,3.0003E+00,3.8989E-02
372,377.166667,2.6723E-03,6.8207E-01,3.0994E-02,5.6086E+01,3.4757E-01,2.8398E+00,3.7114E-02
377.166667,382.333333,2.5372E-03,6.4942E-01,2.9521E-02,5.3428E+01,3.3043E-01,2.7038E+00,3.5324E-02
382.333333,387.5,2.4115E-03,6.1756E-01,2.8067E-02,5.0688E+01,3.1435E-01,2.5830E+00,3.3604E-02
387.5,392.666667,2.2931E-03,5.8578E-01,2.6717E-02,4.8231E+01,2.9862E-01,2.4362E+00,3.1991E-02
392.666667,397.833333,2.1845E-03,5.5846E-01,2.5362E-02,4.5941E+01,2.8464E-01,2.3264E+00,3.0379E-02
397.833333,403,2.0778E-03,5.3026E-01,2.4046E-02,4.3800E+01,2.7057E-01,2.1934E+00,2.8858E-02
403,408.166667,1.9768E-03,5.0440E-01,2.2886E-02,4.1708E+01,2.5721E-01,2.1168E+00,2.7466E-02
408.166667,413.333333,1.8748E-03,4.7937E-01,2.1767E-02,3.9492E+01,2.4450E-01,2.0122E+00,2.6101E-02
413.333333,418.5,1.7840E-03,4.5446E-01,2.0650E-02,3.7730E+01,2.3195E-01,1.9012E+00,2.4765E-02
418.5,423.666667,1.6975E-03,4.3229E-01,1.9657E-02,3.5922E+01,2.2049E-01,1.8051E+00,2.3596E-02
423.666667,428.833333,1.6142E-03,4.1107E-01,1.8679E-02,3.4201E+01,2.0989E-01,1.7172E+00,2.2414E-02
428.833333,434,1.5348E-03,3.9046E-01,1.7764E-02,3.2575E+01,1.9937E-01,1.6191E+00,2.1313E-02
434,439.166667,1.4560E-03,3.7062E-01,1.6855E-02,3.0976E+01,1.8978E-01,1.5581E+00,2.0187E-02
439.166667,444.333333,1.3857E-03,3.5263E-01,1.5994E-02,2.9482E+01,1.8028E-01,1.4779E+00,1.9170E-02
444.333333,449.5,1.3184E-03,3.3488E-01,1.5177E-02,2.8030E+01,1.7161E-01,1.4055E+00,1.8240E-02
449.5,454.666667,1.2544E-03,3.1845E-01,1.4478E-02,2.6626E+01,1.6278E-01,1.3275E+00,1.7424E-02
454.666667,459.833333,1.1906E-03,3.0190E-01,1.3760E-02,2.5283E+01,1.5375E-01,1.2644E+00,1.6531E-02
459.833333,465,1.1273E-03,2.8613E-01,1.3048E-02,2.3924E+01,1.4587E-01,1.1914E+00,1.5674E-02
465,470.166667,1.0719E-03,2.7181E-01,1.2331E-02,2.2796E+01,1.3827E-01,1.1349E+00,1.4843E-02
470.166667,475.333333,1.0161E-03,2.5813E-01,1.1730E-02,2.1514E+01,1.3146E-01,1.0722E+00,1.4072E-02
475.333333,480.5,9.6552E-04,2.4637E-01,1.1174E-02,2.0332E+01,1.2574E-01,1.0202E+00,1.3394E-02
480.5,485.666667,9.1940E-04,2.3390E-01,1.0590E-02,1.9455E+01,1.1928E-01,9.7047E-01,1.2710E-02
485.666667,490.833333,8.7146E-04,2.2249E-01,1.0060E-02,1.8427E+01,1.1332E-01,9.3067E-01,1.2088E-02
490.833333,496,8.2734E-04,2.1180E-01,9.5573E-03,1.7489E+01,1.0814E-01,8.8741E-01,1.1485E-02
496,501.166667,7.8604E-04,2.0068E-01,9.0590E-03,1.6651E+01,1.0277E-01,8.4132E-01,1.0858E-02
501.166667,506.333333,7.4502E-04,1.9044E-01,8.6451E-03,1.5838E+01,9.7183E-02,8.0913E-01,1.0396E-02
506.333333,511.5,7.0732E-04,1.8020E-01,8.1367E-03,1.5052E+01,9.2259E-02,7.6546E-01,9.7745E-03
511.5,516.666667,6.7278E-04,1.7081E-01,7.7635E-03,1.4311E+01,8.7380E-02,7.2452E-01,9.3038E-03
*,*,*,*,Apollo-15 + 10% H2O,*,*,*,*
0,5.166667,1.7879E-03,1.2932E-01,6.0231E-03,5.1595E+01,1.2164E-01,5.1066E-01,1.1309E-02
5.166667,10.333333,5.5249E-03,3.7456E-01,1.7323E-02,1.6050E+02,3.7979E-01,1.4641E+00,3.4927E-02
10.333333,15.5,8.6734E-03,5.8171E-01,2.6601E-02,2.5531E+02,5.9913E-01,2.2730E+00,5.4696E-02
15.5,20.666667,1.1371E-02,7.5460E-01,3.4189E-02,3.3762E+02,7.8603E-01,2.9705E+00,7.1388E-02
20.666667,25.833333,1.3606E-02,8.9223E-01,4.0199E-02,4.0598E+02,9.4040E-01,3.5110E+00,8.5040E-02
25.833333,31,1.5347E-02,9.9765E-01,4.4668E-02,4.5986E+02,1.0600E+00,3.9207E+00,9.5457E-02
31,36.166667,1.6670E-02,1.0735E+00,4.7959E-02,5.0109E+02,1.1489E+00,4.2204E+00,1.0334E-01
36.166667,41.333333,1.7628E-02,1.1269E+00,5.0176E-02,5.3130E+02,1.2132E+00,4.4310E+00,1.0891E-01
41.333333,46.5,1.8293E-02,1.1631E+00,5.1687E-02,5.5181E+02,1.2585E+00,4.5684E+00,1.1276E-01
46.5,51.666667,1.8649E-02,1.1780E+00,5.2439E-02,5.6347E+02,1.2812E+00,4.6328E+00,1.1478E-01
51.666667,56.833333,1.8806E-02,1.1846E+00,5.2630E-02,5.6865E+02,1.2912E+00,4.6467E+00,1.1555E-01
56.833333,62,1.8821E-02,1.1808E+00,5.2397E-02,5.6939E+02,1.2912E+00,4.6613E+00,1.1540E-01
62,67.166667,1.8675E-02,1.1704E+00,5.1862E-02,5.6555E+02,1.2819E+00,4.5987E+00,1.1440E-01
67.166667,72.333333,1.8454E-02,1.1537E+00,5.1067E-02,5.5907E+02,1.2655E+00,4.5249E+00,1.1294E-01
72.333333,77.5,1.8135E-02,1.1321E+00,5.0079E-02,5.4943E+02,1.2433E+00,4.4370E+00,1.1091E-01
77.5,82.666667,1.7769E-02,1.1067E+00,4.8952E-02,5.3831E+02,1.2179E+00,4.3460E+00,1.0858E-01
82.666667,87.833333,1.7340E-02,1.0800E+00,4.7761E-02,5.2558E+02,1.1888E+00,4.2324E+00,1.0598E-01
87.833333,93,1.6884E-02,1.0498E+00,4.6322E-02,5.1183E+02,1.1567E+00,4.1270E+00,1.0295E-01
93,98.166667,1.6352E-02,1.0173E+00,4.4993E-02,4.9612E+02,1.1204E+00,3.9956E+00,9.9868E-02
98.166667,103.333333,1.5864E-02,9.8546E-01,4.3565E-02,4.8101E+02,1.0868E+00,3.8687E+00,9.6836E-02
103.333333,108.5,1.5345E-02,9.5279E-01,4.2105E-02,4.6528E+02,1.0506E+00,3.7333E+00,9.3636E-02
108.5,113.666667,1.4827E-02,9.2053E-01,4.0703E-02,4.4984E+02,1.0157E+00,3.6138E+00,9.0524E-02
113.666667,118.833333,1.4312E-02,8.8699E-01,3.9234E-02,4.3380E+02,9.8050E-01,3.4840E+00,8.7361E-02
118.833333,124,1.3786E-02,8.5422E-01,3.7811E-02,4.1829E+02,9.4340E-01,3.3523E+00,8.4164E-02
124,129.166667,1.3240E-02,8.2123E-01,3.6257E-02,4.0204E+02,9.0686E-01,3.2343E+00,8.0703E-02
129.166667,134.333333,1.2725E-02,7.8791E-01,3.4848E-02,3.8626E+02,8.7125E-01,3.1000E+00,7.7641E-02
134.333333,139.5,1.2220E-02,7.5561E-01,3.3448E-02,3.7081E+02,8.3611E-01,2.9756E+00,7.4479E-02
139.5,144.666667,1.1727E-02,7.2684E-01,3.2169E-02,3.5609E+02,8.0293E-01,2.8525E+00,7.1574E-02
144.666667,149.833333,1.1272E-02,6.9814E-01,3.0894E-02,3.4229E+02,7.7157E-01,2.7399E+00,6.8818E-02
149.833333,155,1.0790E-02,6.6887E-01,2.9598E-02,3.2782E+02,7.3882E-01,2.6224E+00,6.5913E-02
155,160.166667,1.0328E-02,6.4033E-01,2.8294E-02,3.1340E+02,7.0697E-01,2.5073E+00,6.3048E-02
160.166667,165.333333,9.8993E-03,6.1337E-01,2.7162E-02,3.0054E+02,6.7765E-01,2.4097E+00,6.0453E-02
165.333333,170.5,9.4601E-03,5.8619E-01,2.5907E-02,2.8718E+02,6.4813E-01,2.3001E+00,5.7713E-02
170.5,175.666667,9.0657E-03,5.6134E-01,2.4775E-02,2.7502E+02,6.2112E-01,2.1962E+00,5.5253E-02
175.666667,180.833333,8.6701E-03,5.3660E-01,2.3673E-02,2.6295E+02,5.9339E-01,2.1043E+00,5.2810E-02
180.833333,186,8.2835E-03,5.1217E-01,2.2645E-02,2.5144E+02,5.6662E-01,2.0053E+00,5.0542E-02
186,191.166667,7.9067E-03,4.8979E-01,2.1611E-02,2.4003E+02,5.4121E-01,1.9217E+00,4.8201E-02
191.166667,196.333333,7.5528E-03,4.6749E-01,2.0620E-02,2.2940E+02,5.1682E-01,1.8352E+00,4.5989E-02
196.333333,201.5,7.2033E-03,4.4687E-01,1.9699E-02,2.1859E+02,4.9334E-01,1.7479E+00,4.3914E-02
201.5,206.666667,6.8870E-03,4.2665E-01,1.8824E-02,2.0920E+02,4.7151E-01,1.6634E+00,4.2013E-02
206.666667,211.833333,6.5731E-03,4.0636E-01,1.7955E-02,1.9965E+02,4.4967E-01,1.5997E+00,4.0090E-02
211.833333,217,6.2744E-03,3.8791E-01,1.7140E-02,1.9064E+02,4.2959E-01,1.5298E+00,3.8217E-02
217,222.166667,5.9953E-03,3.6984E-01,1.6339E-02,1.8197E+02,4.1004E-01,1.4595E+00,3.6481E-02
222.166667,227.333333,5.7212E-03,3.5355E-01,1.5611E-02,1.7375E+02,3.9170E-01,1.3795E+00,3.4847E-02
227.333333,232.5,5.4528E-03,3.3716E-01,1.4876E-02,1.6567E+02,3.7302E-01,1.3245E+00,3.3211E-02
232.5,237.666667,5.1842E-03,3.2082E-01,1.4193E-02,1.5730E+02,3.5486E-01,1.2575E+00,3.1634E-02
237.666667,242.833333,4.9545E-03,3.0562E-01,1.3490E-02,1.5029E+02,3.3878E-01,1.2109E+00,3.0144E-02
242.833333,248,4.7197E-03,2.9209E-01,1.2882E-02,1.4325E+02,3.2312E-01,1.1425E+00,2.8759E-02
248,253.166667,4.4998E-03,2.7774E-01,1.2251E-02,1.3673E+02,3.0777E-01,1.0982E+00,2.7342E-02
253.166667,258.333333,4.2768E-03,2.6354E-01,1.1691E-02,1.2996E+02,2.9213E-01,1.0491E+00,2.6089E-02
258.333333,263.5,4.0735E-03,2.5131E-01,1.1104E-02,1.2370E+02,2.7842E-01,9.8697E-01,2.4792E-02
263.5,268.666667,3.8756E-03,2.3952E-01,1.0567E-02,1.1776E+02,2.6526E-01,9.4640E-01,2.3616E-02
268.666667,273.833333,3.6952E-03,2.2798E-01,1.0104E-02,1.1216E+02,2.5274E-01,8.9118E-01,2.2547E-02
273.833333,279,3.5101E-03,2.1730E-01,9.5656E-03,1.0654E+02,2.4055E-01,8.5146E-01,2.1361E-02
279,284.166667,3.3228E-03,2.0577E-01,9.0740E-03,1.0101E+02,2.2755E-01,8.0334E-01,2.0272E-02
284.166667,289.333333,3.1703E-03,1.9633E-01,8.6914E-03,9.6223E+01,2.1692E-01,7.7367E-01,1.9366E-02
289.333333,294.5,3.0136E-03,1.8625E-01,8.2420E-03,9.1580E+01,2.0618E-01,7.3029E-01,1.8395E-02
294.5,299.666667,2.8635E-03,1.7651E-01,7.8135E-03,8.6969E+01,1.9563E-01,6.9420E-01,1.7431E-02
299.666667,304.833333,2.7260E-03,1.6812E-01,7.4351E-03,8.2739E+01,1.8637E-01,6.6182E-01,1.6618E-02
304.833333,310,2.5855E-03,1.5960E-01,7.0314E-03,7.8500E+01,1.7679E-01,6.2200E-01,1.5722E-02
310,315.166667,2.4526E-03,1.5204E-01,6.6585E-03,7.4542E+01,1.6799E-01,5.9487E-01,1.4866E-02
315.166667,320.333333,2.3386E-03,1.4455E-01,6.3432E-03,7.0997E+01,1.6018E-01,5.6664E-01,1.4219E-02
320.333333,325.5,2.2199E-03,1.3734E-01,6.0548E-03,6.7435E+01,1.5199E-01,5.3865E-01,1.3517E-02
325.5,330.666667,2.1048E-03,1.3037E-01,5.7397E-03,6.3916E+01,1.4412E-01,5.1236E-01,1.2797E-02
330.666667,335.833333,2.0016E-03,1.2381E-01,5.4710E-03,6.0791E+01,1.3715E-01,4.8606E-01,1.2206E-02
335.833333,341,1.9076E-03,1.1814E-01,5.2135E-03,5.7907E+01,1.3058E-01,4.5474E-01,1.1625E-02
341,346.166667,1.8003E-03,1.1163E-01,4.9376E-03,5.4676E+01,1.2324E-01,4.3699E-01,1.1004E-02
346.166667,351.333333,1.7140E-03,1.0571E-01,4.6846E-03,5.2049E+01,1.1707E-01,4.1171E-01,1.0446E-02
351.333333,356.5,1.6278E-03,1.0081E-01,4.4746E-03,4.9497E+01,1.1129E-01,3.9491E-01,9.9601E-03
356.5,361.666667,1.5536E-03,9.5931E-02,4.2365E-03,4.7192E+01,1.0627E-01,3.7467E-01,9.4720E-03
361.666667,366.833333,1.4668E-03,9.0169E-02,3.9923E-03,4.4627E+01,1.0005E-01,3.5677E-01,8.9275E-03
366.833333,372,1.3950E-03,8.6124E-02,3.7811E-03,4.2378E+01,9.5293E-02,3.3450E-01,8.4559E-03
372,377.166667,1.3184E-03,8.1687E-02,3.6024E-03,3.9999E+01,9.0105E-02,3.1989E-01,8.0272E-03
377.166667,382.333333,1.2574E-03,7.7629E-02,3.4514E-03,3.8092E+01,8.6078E-02,3.0704E-01,7.6875E-03
382.333333,387.5,1.1866E-03,7.3376E-02,3.2523E-03,3.6067E+01,8.1192E-02,2.8513E-01,7.2533E-03
387.5,392.666667,1.1248E-03,6.9622E-02,3.0677E-03,3.4173E+01,7.6987E-02,2.7640E-01,6.8491E-03
392.666667,397.833333,1.0732E-03,6.6135E-02,2.9364E-03,3.2642E+01,7.3409E-02,2.5924E-01,6.5577E-03
397.833333,403,1.0246E-03,6.3098E-02,2.7761E-03,3.1145E+01,6.9907E-02,2.4548E-01,6.2189E-03
403,408.166667,9.6796E-04,5.9771E-02,2.6493E-03,2.9434E+01,6.6213E-02,2.3421E-01,5.9135E-03
408.166667,413.333333,9.1481E-04,5.6412E-02,2.4802E-03,2.7732E+01,6.2466E-02,2.1987E-01,5.5490E-03
413.333333,418.5,8.6693E-04,5.3527E-02,2.3779E-03,2.6305E+01,5.9208E-02,2.0770E-01,5.3008E-03
418.5,423.666667,8.2678E-04,5.1159E-02,2.2337E-03,2.5103E+01,5.6646E-02,2.0018E-01,5.0160E-03
423.666667,428.833333,7.8306E-04,4.8549E-02,2.1340E-03,2.3772E+01,5.3652E-02,1.8973E-01,4.7736E-03
428.833333,434,7.3977E-04,4.5993E-02,2.0137E-03,2.2483E+01,5.0856E-02,1.7811E-01,4.5052E-03
434,439.166667,7.0144E-04,4.3419E-02,1.9149E-03,2.1355E+01,4.8019E-02,1.6877E-01,4.2775E-03
439.166667,444.333333,6.6843E-04,4.1036E-02,1.8188E-03,2.0300E+01,4.5595E-02,1.6375E-01,4.0713E-03
444.333333,449.5,6.2942E-04,3.8851E-02,1.7098E-03,1.9115E+01,4.3109E-02,1.5473E-01,3.8332E-03
449.5,454.666667,5.9152E-04,3.6681E-02,1.6219E-03,1.8000E+01,4.0555E-02,1.4105E-01,3.6166E-03
454.666667,459.833333,5.6644E-04,3.4896E-02,1.5599E-03,1.7188E+01,3.8711E-02,1.3764E-01,3.4829E-03
459.833333,465,5.3594E-04,3.3248E-02,1.4681E-03,1.6324E+01,3.6783E-02,1.3049E-01,3.2800E-03
465,470.166667,5.1103E-04,3.1483E-02,1.4053E-03,1.5488E+01,3.4988E-02,1.2442E-01,3.1406E-03
470.166667,475.333333,4.8113E-04,2.9731E-02,1.3152E-03,1.4598E+01,3.2947E-02,1.1527E-01,2.9457E-03
475.333333,480.5,4.5568E-04,2.8112E-02,1.2297E-03,1.3860E+01,3.1246E-02,1.0854E-01,2.7626E-03
480.5,485.666667,4.2808E-04,2.6475E-02,1.1790E-03,1.3049E+01,2.9262E-02,1.0440E-01,2.6179E-03
485.666667,490.833333,4.0865E-04,2.5182E-02,1.1224E-03,1.2438E+01,2.7998E-02,9.9864E-02,2.5034E-03
490.833333,496,3.8707E-04,2.3720E-02,1.0663E-03,1.1758E+01,2.6369E-02,9.4371E-02,2.3727E-03
496,501.166667,3.7142E-04,2.2960E-02,1.0127E-03,1.1272E+01,2.5391E-02,8.9559E-02,2.2671E-03
501.166667,506.333333,3.5379E-04,2.1869E-02,9.6548E-04,1.0734E+01,2.4214E-02,8.5380E-02,2.1557E-03
506.333333,511.5,3.3249E-04,2.0558E-02,9.1657E-04,1.0097E+01,2.2751E-02,8.0328E-02,2.0374E-03
511.5,516.666667,3.1623E-04,1.9483E-02,8.6362E-04,9.6047E+00,2.1586E-02,7.6639E-02,1.9278E-03
*,*,*,*,Apollo-16,*,*,*,*
0,2.5,2.5372E-03,4.3059E-01,2.2418E-02,4.7142E+01,2.4013E-01,1.6844E+00,2.7399E-02
2.5,5,3.8938E-03,6.6247E-01,3.4419E-02,7.3278E+01,3.7093E-01,2.5897E+00,4.2206E-02
5,7.5,5.1627E-03,8.8292E-01,4.5902E-02,9.7933E+01,4.9498E-01,3.4528E+00,5.6320E-02
7.5,10,6.3916E-03,1.0964E+00,5.6958E-02,1.2204E+02,6.1451E-01,4.2860E+00,6.9906E-02
10,12.5,7.6010E-03,1.3076E+00,6.7796E-02,1.4614E+02,7.3420E-01,5.1060E+00,8.3402E-02
12.5,15,8.7745E-03,1.5151E+00,7.8577E-02,1.6986E+02,8.5157E-01,5.9128E+00,9.6884E-02
15,17.5,9.9150E-03,1.7185E+00,8.9044E-02,1.9318E+02,9.6721E-01,6.6644E+00,1.0995E-01
17.5,20,1.1028E-02,1.9186E+00,9.9181E-02,2.1609E+02,1.0812E+00,7.4662E+00,1.2256E-01
20,22.5,1.2105E-02,2.1140E+00,1.0902E-01,2.3855E+02,1.1923E+00,8.2290E+00,1.3483E-01
22.5,25,1.3153E-02,2.3034E+00,1.1878E-01,2.6080E+02,1.2992E+00,8.9893E+00,1.4705E-01
25,27.5,1.4171E-02,2.4878E+00,1.2808E-01,2.8261E+02,1.4036E+00,9.7276E+00,1.5871E-01
27.5,30,1.5163E-02,2.6683E+00,1.3705E-01,3.0408E+02,1.5068E+00,1.0469E+01,1.7007E-01
30,32.5,1.6111E-02,2.8420E+00,1.4588E-01,3.2526E+02,1.6063E+00,1.1146E+01,1.8120E-01
32.5,35,1.7029E-02,3.0094E+00,1.5403E-01,3.4594E+02,1.7014E+00,1.1810E+01,1.9148E-01
35,37.5,1.7908E-02,3.1702E+00,1.6208E-01,3.6582E+02,1.7932E+00,1.2466E+01,2.0189E-01
37.5,40,1.8738E-02,3.3292E+00,1.6944E-01,3.8467E+02,1.8860E+00,1.3092E+01,2.1126E-01
40,42.5,1.9557E-02,3.4818E+00,1.7666E-01,4.0378E+02,1.9750E+00,1.3699E+01,2.2066E-01
42.5,45,2.0331E-02,3.6278E+00,1.8363E-01,4.2164E+02,2.0598E+00,1.4269E+01,2.2982E-01
45,47.5,2.1078E-02,3.7651E+00,1.9007E-01,4.3995E+02,2.1423E+00,1.4848E+01,2.3826E-01
47.5,50,2.1770E-02,3.8957E+00,1.9619E-01,4.5686E+02,2.2185E+00,1.5380E+01,2.4624E-01
50,52.5,2.2432E-02,4.0182E+00,2.0205E-01,4.7333E+02,2.2919E+00,1.5822E+01,2.5404E-01
52.5,55,2.3063E-02,4.1339E+00,2.0736E-01,4.8949E+02,2.3615E+00,1.6316E+01,2.6121E-01
55,57.5,2.3653E-02,4.2435E+00,2.1224E-01,5.0486E+02,2.4280E+00,1.6769E+01,2.6779E-01
57.5,60,2.4225E-02,4.3473E+00,2.1687E-01,5.1987E+02,2.4898E+00,1.7253E+01,2.7417E-01
60,62.5,2.4743E-02,4.4408E+00,2.2104E-01,5.3386E+02,2.5459E+00,1.7622E+01,2.8000E-01
62.5,65,2.5213E-02,4.5294E+00,2.2479E-01,5.4686E+02,2.5986E+00,1.7978E+01,2.8523E-01
65,67.5,2.5670E-02,4.6120E+00,2.2817E-01,5.5974E+02,2.6511E+00,1.8336E+01,2.9014E-01
67.5,70,2.6090E-02,4.6888E+00,2.3119E-01,5.7162E+02,2.6978E+00,1.8673E+01,2.9443E-01
70,72.5,2.6469E-02,4.7556E+00,2.3390E-01,5.8274E+02,2.7399E+00,1.8995E+01,2.9853E-01
72.5,75,2.6824E-02,4.8196E+00,2.3626E-01,5.9360E+02,2.7814E+00,1.9284E+01,3.0212E-01
75,77.5,2.7152E-02,4.8738E+00,2.3831E-01,6.0353E+02,2.8174E+00,1.9510E+01,3.0537E-01
77.5,80,2.7420E-02,4.9189E+00,2.3988E-01,6.1220E+02,2.8463E+00,1.9722E+01,3.0792E-01
80,82.5,2.7657E-02,4.9648E+00,2.4147E-01,6.2009E+02,2.8764E+00,1.9901E+01,3.1053E-01
82.5,85,2.7869E-02,5.0012E+00,2.4258E-01,6.2804E+02,2.9028E+00,2.0006E+01,3.1260E-01
85,87.5,2.8042E-02,5.0282E+00,2.4325E-01,6.3491E+02,2.9212E+00,2.0193E+01,3.1410E-01
87.5,90,2.8208E-02,5.0528E+00,2.4380E-01,6.4146E+02,2.9395E+00,2.0311E+01,3.1535E-01
90,92.5,2.8318E-02,5.0717E+00,2.4388E-01,6.4668E+02,2.9567E+00,2.0409E+01,3.1615E-01
92.5,95,2.8438E-02,5.0836E+00,2.4374E-01,6.5171E+02,2.9679E+00,2.0457E+01,3.1671E-01
95,97.5,2.8504E-02,5.0898E+00,2.4369E-01,6.5604E+02,2.9745E+00,2.0514E+01,3.1733E-01
97.5,100,2.8545E-02,5.0956E+00,2.4312E-01,6.5940E+02,2.9820E+00,2.0545E+01,3.1704E-01
100,102.5,2.8576E-02,5.0914E+00,2.4240E-01,6.6264E+02,2.9856E+00,2.0578E+01,3.1676E-01
102.5,105,2.8585E-02,5.0828E+00,2.4136E-01,6.6554E+02,2.9855E+00,2.0507E+01,3.1616E-01
105,107.5,2.8541E-02,5.0687E+00,2.4020E-01,6.6661E+02,2.9809E+00,2.0493E+01,3.1502E-01
107.5,110,2.8517E-02,5.0539E+00,2.3903E-01,6.6800E+02,2.9780E+00,2.0527E+01,3.1416E-01
110,112.5,2.8463E-02,5.0347E+00,2.3781E-01,6.6867E+02,2.9711E+00,2.0459E+01,3.1316E-01
112.5,115,2.8385E-02,5.0098E+00,2.3618E-01,6.6915E+02,2.9607E+00,2.0331E+01,3.1161E-01
115,117.5,2.8292E-02,4.9860E+00,2.3452E-01,6.6946E+02,2.9524E+00,2.0241E+01,3.1005E-01
117.5,120,2.8161E-02,4.9527E+00,2.3238E-01,6.6873E+02,2.9373E+00,2.0156E+01,3.0775E-01
120,122.5,2.8033E-02,4.9184E+00,2.3025E-01,6.6786E+02,2.9219E+00,2.0045E+01,3.0546E-01
122.5,125,2.7882E-02,4.8834E+00,2.2804E-01,6.6641E+02,2.9060E+00,1.9890E+01,3.0319E-01
125,127.5,2.7711E-02,4.8412E+00,2.2572E-01,6.6376E+02,2.8829E+00,1.9766E+01,3.0057E-01
127.5,130,2.7533E-02,4.8016E+00,2.2342E-01,6.6136E+02,2.8641E+00,1.9603E+01,2.9819E-01
130,132.5,2.7328E-02,4.7609E+00,2.2102E-01,6.5829E+02,2.8433E+00,1.9457E+01,2.9548E-01
132.5,135,2.7135E-02,4.7156E+00,2.1847E-01,6.5540E+02,2.8202E+00,1.9277E+01,2.9251E-01
135,137.5,2.6929E-02,4.6694E+00,2.1586E-01,6.5209E+02,2.7979E+00,1.9095E+01,2.8956E-01
137.5,140,2.6704E-02,4.6233E+00,2.1326E-01,6.4824E+02,2.7756E+00,1.8971E+01,2.8654E-01
140,142.5,2.6460E-02,4.5668E+00,2.1055E-01,6.4401E+02,2.7453E+00,1.8740E+01,2.8339E-01
142.5,145,2.6215E-02,4.5160E+00,2.0760E-01,6.3957E+02,2.7172E+00,1.8531E+01,2.8000E-01
145,147.5,2.5946E-02,4.4610E+00,2.0470E-01,6.3447E+02,2.6880E+00,1.8311E+01,2.7644E-01
147.5,150,2.5675E-02,4.4041E+00,2.0162E-01,6.2898E+02,2.6569E+00,1.8079E+01,2.7271E-01
150,152.5,2.5397E-02,4.3457E+00,1.9863E-01,6.2339E+02,2.6247E+00,1.7855E+01,2.6919E-01
152.5,155,2.5113E-02,4.2897E+00,1.9575E-01,6.1746E+02,2.5962E+00,1.7613E+01,2.6581E-01
155,157.5,2.4821E-02,4.2278E+00,1.9270E-01,6.1123E+02,2.5619E+00,1.7406E+01,2.6202E-01
157.5,160,2.4522E-02,4.1662E+00,1.8970E-01,6.0510E+02,2.5271E+00,1.7148E+01,2.5835E-01
160,162.5,2.4211E-02,4.1052E+00,1.8676E-01,5.9848E+02,2.4938E+00,1.6946E+01,2.5469E-01
162.5,165,2.3890E-02,4.0421E+00,1.8389E-01,5.9180E+02,2.4584E+00,1.6718E+01,2.5116E-01
165,167.5,2.3570E-02,3.9813E+00,1.8098E-01,5.8495E+02,2.4231E+00,1.6446E+01,2.4739E-01
167.5,170,2.3235E-02,3.9212E+00,1.7790E-01,5.7753E+02,2.3896E+00,1.6187E+01,2.4348E-01
170,172.5,2.2915E-02,3.8579E+00,1.7494E-01,5.7040E+02,2.3543E+00,1.5911E+01,2.3974E-01
172.5,175,2.2583E-02,3.7961E+00,1.7183E-01,5.6288E+02,2.3195E+00,1.5637E+01,2.3572E-01
175,177.5,2.2258E-02,3.7344E+00,1.6890E-01,5.5589E+02,2.2843E+00,1.5393E+01,2.3210E-01
177.5,180,2.1909E-02,3.6692E+00,1.6584E-01,5.4811E+02,2.2452E+00,1.5156E+01,2.2817E-01
180,182.5,2.1589E-02,3.6082E+00,1.6282E-01,5.4072E+02,2.2099E+00,1.4926E+01,2.2428E-01
182.5,185,2.1271E-02,3.5484E+00,1.5998E-01,5.3349E+02,2.1753E+00,1.4664E+01,2.2071E-01
185,187.5,2.0937E-02,3.4844E+00,1.5707E-01,5.2584E+02,2.1385E+00,1.4410E+01,2.1697E-01
187.5,190,2.0609E-02,3.4231E+00,1.5399E-01,5.1812E+02,2.1050E+00,1.4166E+01,2.1295E-01
