from,to,Sm-144,Sm-147,Sm-148,Sm-149,Sm-150,Sm-152,Sm-154
62.5,65,4.6795E-02,1.1327E+01,5.9157E-01,7.4863E+02,5.6240E+00,4.4134E+01,6.6961E-01
*,*,*,*,Apollo-15 basic,*,*,*,*
0,2.933333333,1.9847E-03,4.1530E-01,2.2262E-02,2.6943E+01,2.0424E-01,1.6081E+00,2.4873E-02
2.933333333,5.866666667,3.2838E-03,7.0047E-01,3.7540E-02,4.6276E+01,3.4566E-01,2.7161E+00,4.2101E-02
5.866666667,8.8,4.4927E-03,9.6938E-01,5.1807E-02,6.4566E+01,4.7990E-01,3.7515E+00,5.8137E-02
8.8,11.73333333,5.6625E-03,1.2336E+00,6.5791E-02,8.2595E+01,6.1150E-01,4.7675E+00,7.3919E-02
11.73333333,14.66666667,6.7963E-03,1.4927E+00,7.9551E-02,1.0037E+02,7.4084E-01,5.7865E+00,8.9504E-02
14.66666667,17.6,7.8886E-03,1.7458E+00,9.2821E-02,1.1771E+02,8.6673E-01,6.7978E+00,1.0452E-01
17.6,20.53333333,8.9497E-03,1.9946E+00,1.0571E-01,1.3493E+02,9.8971E-01,7.7558E+00,1.1912E-01
20.53333333,23.46666667,9.9610E-03,2.2362E+00,1.1827E-01,1.5181E+02,1.1099E+00,8.7065E+00,1.3352E-01
23.46666667,26.4,1.0938E-02,2.4683E+00,1.3024E-01,1.6858E+02,1.2252E+00,9.6056E+00,1.4710E-01
26.4,29.33333333,1.1864E-02,2.6935E+00,1.4181E-01,1.8452E+02,1.3381E+00,1.0532E+01,1.6042E-01
29.33333333,32.26666667,1.2752E-02,2.9102E+00,1.5288E-01,2.0024E+02,1.4464E+00,1.1353E+01,1.7312E-01
32.26666667,35.2,1.3590E-02,3.1171E+00,1.6323E-01,2.1556E+02,1.5507E+00,1.2205E+01,1.8505E-01
35.2,38.13333333,1.4377E-02,3.3198E+00,1.7314E-01,2.3033E+02,1.6539E+00,1.2964E+01,1.9648E-01
38.13333333,41.06666667,1.5119E-02,3.5088E+00,1.8266E-01,2.4462E+02,1.7477E+00,1.3744E+01,2.0754E-01
41.06666667,44,1.5832E-02,3.6930E+00,1.9138E-01,2.5854E+02,1.8418E+00,1.4449E+01,2.1771E-01
44,46.93333333,1.6481E-02,3.8594E+00,1.9961E-01,2.7152E+02,1.9255E+00,1.5122E+01,2.2733E-01
