from,to,Gd-152,Gd-154,Gd-155,Gd-156,Gd-157,Gd-158,Gd-160
7.5,10,2.6420E+00,7.4509E-01,6.8171E+01,3.2041E-01,2.7414E+02,1.8127E-01,3.5038E-02
10,12.5,3.3735E+00,9.4891E-01,8.7285E+01,4.0705E-01,3.5101E+02,2.3058E-01,4.4109E-02
12.5,15,4.1210E+00,1.1554E+00,1.0691E+02,4.9467E-01,4.2999E+02,2.8062E-01,5.3110E-02
15,17.5,4.8838E+00,1.3642E+00,1.2731E+02,5.8282E-01,5.1221E+02,3.3072E-01,6.2035E-02
17.5,20,5.6413E+00,1.5708E+00,1.4754E+02,6.6894E-01,5.9368E+02,3.8035E-01,7.0698E-02
20,22.5,6.3979E+00,1.7755E+00,1.6790E+02,7.5404E-01,6.7582E+02,4.2961E-01,7.9085E-02
22.5,25,7.1402E+00,1.9738E+00,1.8797E+02,8.3697E-01,7.5681E+02,4.7703E-01,8.7127E-02
25,27.5,7.8732E+00,2.1673E+00,2.0805E+02,9.1624E-01,8.3789E+02,5.2270E-01,9.4811E-02
27.5,30,8.5798E+00,2.3533E+00,2.2764E+02,9.9256E-01,9.1696E+02,5.6665E-01,1.0202E-01
30,32.5,9.2620E+00,2.5321E+00,2.4635E+02,1.0660E+00,9.9249E+02,6.0925E-01,1.0881E-01
32.5,35,9.9154E+00,2.7024E+00,2.6440E+02,1.1362E+00,1.0654E+03,6.4934E-01,1.1513E-01
35,37.5,1.0530E+01,2.8613E+00,2.8132E+02,1.2005E+00,1.1337E+03,6.8710E-01,1.2097E-01
37.5,40,1.1122E+01,3.0121E+00,2.9860E+02,1.2596E+00,1.2037E+03,7.2280E-01,1.2632E-01
40,42.5,1.1647E+01,3.1460E+00,3.1287E+02,1.3145E+00,1.2614E+03,7.5393E-01,1.3125E-01
42.5,45,1.2153E+01,3.2714E+00,3.2794E+02,1.3651E+00,1.3224E+03,7.8307E-01,1.3544E-01
45,47.5,1.2593E+01,3.3822E+00,3.4050E+02,1.4062E+00,1.3734E+03,8.0896E-01,1.3913E-01
47.5,50,1.2996E+01,3.4807E+00,3.5241E+02,1.4458E+00,1.4217E+03,8.3108E-01,1.4260E-01
50,52.5,1.3345E+01,3.5687E+00,3.6273E+02,1.4814E+00,1.4632E+03,8.5212E-01,1.4558E-01
52.5,55,1.3659E+01,3.6464E+00,3.7176E+02,1.5126E+00,1.4994E+03,8.7174E-01,1.4826E-01
55,57.5,1.3901E+01,3.7063E+00,3.7903E+02,1.5341E+00,1.5291E+03,8.8381E-01,1.5006E-01
57.5,60,1.4087E+01,3.7522E+00,3.8474E+02,1.5528E+00,1.5524E+03,8.9540E-01,1.5128E-01
60,62.5,1.4219E+01,3.7789E+00,3.8674E+02,1.5659E+00,1.5610E+03,9.0082E-01,1.5197E-01
62.5,65,1.4559E+01,3.8350E+00,4.0796E+02,1.5582E+00,1.6482E+03,9.1172E-01,1.5238E-01
*,*,*,*,Apollo-15 basic,*,*,*,*
0,2.933333333,5.2493E-01,1.4083E-01,1.3942E+01,5.8606E-02,5.6250E+01,3.3586E-02,6.1027E-03
2.933333333,5.866666667,8.9565E-01,2.3818E-01,2.4231E+01,9.8485E-02,9.7805E+01,5.6658E-02,1.0210E-02
5.866666667,8.8,1.2454E+00,3.3017E-01,3.3941E+01,1.3601E-01,1.3704E+02,7.8437E-02,1.4039E-02
8.8,11.73333333,1.5902E+00,4.2037E-01,4.3599E+01,1.7289E-01,1.7606E+02,9.9740E-02,1.7753E-02
11.73333333,14.66666667,1.9297E+00,5.0912E-01,5.3114E+01,2.0911E-01,2.1451E+02,1.2063E-01,2.1370E-02
14.66666667,17.6,2.2604E+00,5.9534E-01,6.2374E+01,2.4416E-01,2.5192E+02,1.4096E-01,2.4864E-02
17.6,20.53333333,2.5892E+00,6.7977E-01,7.1618E+01,2.7860E-01,2.8929E+02,1.6068E-01,2.8222E-02
20.53333333,23.46666667,2.9084E+00,7.6170E-01,8.0685E+01,3.1171E-01,3.2598E+02,1.7985E-01,3.1443E-02
23.46666667,26.4,3.2197E+00,8.4091E-01,8.9661E+01,3.4351E-01,3.6232E+02,1.9812E-01,3.4524E-02
26.4,29.33333333,3.5180E+00,9.1742E-01,9.8192E+01,3.7463E-01,3.9682E+02,2.1600E-01,3.7400E-02
29.33333333,32.26666667,3.8110E+00,9.9103E-01,1.0666E+02,4.0384E-01,4.3108E+02,2.3304E-01,4.0180E-02
32.26666667,35.2,4.0904E+00,1.0611E+00,1.1477E+02,4.3122E-01,4.6398E+02,2.4933E-01,4.2786E-02
35.2,38.13333333,4.3591E+00,1.1293E+00,1.2264E+02,4.5798E-01,4.9589E+02,2.6533E-01,4.5241E-02
38.13333333,41.06666667,4.6208E+00,1.1933E+00,1.3022E+02,4.8314E-01,5.2665E+02,2.7976E-01,4.7563E-02
41.06666667,44,4.8733E+00,1.2554E+00,1.3779E+02,5.0702E-01,5.5732E+02,2.9415E-01,4.9693E-02
44,46.93333333,5.1078E+00,1.3120E+00,1.4471E+02,5.2918E-01,5.8539E+02,3.0691E-01,5.1659E-02
46.93333333,49.86666667,5.3330E+00,1.3661E+00,1.5145E+02,5.4949E-01,6.1277E+02,3.1939E-01,5.3441E-02
49.86666667,52.8,5.5500E+00,1.4181E+00,1.5814E+02,5.6930E-01,6.3995E+02,3.3104E-01,5.5095E-02
52.8,55.73333333,5.7506E+00,1.4643E+00,1.6433E+02,5.8704E-01,6.6510E+02,3.4140E-01,5.6602E-02
55.73333333,58.66666667,5.9388E+00,1.5080E+00,1.7007E+02,6.0314E-01,6.8843E+02,3.5111E-01,5.7907E-02
58.66666667,61.6,6.1093E+00,1.5476E+00,1.7533E+02,6.1730E-01,7.0983E+02,3.6015E-01,5.9087E-02
61.6,64.53333333,6.2773E+00,1.5853E+00,1.8083E+02,6.3104E-01,7.3222E+02,3.6853E-01,6.0053E-02
64.53333333,67.46666667,6.4282E+00,1.6177E+00,1.8570E+02,6.4287E-01,7.5206E+02,3.7540E-01,6.0941E-02
67.46666667,70.4,6.5640E+00,1.6473E+00,1.9033E+02,6.5254E-01,7.7097E+02,3.8174E-01,6.1660E-02
70.4,73.33333333,6.6902E+00,1.6735E+00,1.9455E+02,6.6132E-01,7.8826E+02,3.8722E-01,6.2265E-02
73.33333333,76.26666667,6.7946E+00,1.6953E+00,1.9803E+02,6.6854E-01,8.0246E+02,3.9185E-01,6.2746E-02
76.26666667,79.2,6.8892E+00,1.7141E+00,2.0111E+02,6.7516E-01,8.1509E+02,3.9555E-01,6.3140E-02
79.2,82.13333333,6.9803E+00,1.7319E+00,2.0461E+02,6.7969E-01,8.2936E+02,3.9919E-01,6.3366E-02
82.13333333,85.06666667,7.0488E+00,1.7438E+00,2.0724E+02,6.8297E-01,8.4019E+02,4.0112E-01,6.3504E-02
85.06666667,88,7.1104E+00,1.7532E+00,2.0971E+02,6.8493E-01,8.5038E+02,4.0259E-01,6.3545E-02
88,90.93333333,7.1666E+00,1.7613E+00,2.1213E+02,6.8598E-01,8.6037E+02,4.0381E-01,6.3457E-02
90.93333333,93.86666667,7.2119E+00,1.7672E+00,2.1434E+02,6.8610E-01,8.6943E+02,4.0447E-01,6.3278E-02
93.86666667,96.8,7.2403E+00,1.7687E+00,2.1574E+02,6.8556E-01,8.7527E+02,4.0445E-01,6.3031E-02
96.8,99.73333333,7.2667E+00,1.7681E+00,2.1714E+02,6.8417E-01,8.8112E+02,4.0351E-01,6.2671E-02
99.73333333,102.6666667,7.2781E+00,1.7661E+00,2.1815E+02,6.8147E-01,8.8536E+02,4.0241E-01,6.2355E-02
102.6666667,105.6,7.2778E+00,1.7609E+00,2.1892E+02,6.7772E-01,8.8873E+02,4.0067E-01,6.1858E-02
105.6,108.5333333,7.2729E+00,1.7545E+00,2.1963E+02,6.7270E-01,8.9174E+02,3.9853E-01,6.1332E-02
108.5333333,111.4666667,7.2585E+00,1.7467E+00,2.1971E+02,6.6861E-01,8.9223E+02,3.9641E-01,6.0754E-02
111.4666667,114.4,7.2379E+00,1.7370E+00,2.1985E+02,6.6308E-01,8.9296E+02,3.9352E-01,6.0150E-02
114.4,117.3333333,7.2135E+00,1.7257E+00,2.2000E+02,6.5702E-01,8.9373E+02,3.9028E-01,5.9481E-02
117.3333333,120.2666667,7.1761E+00,1.7116E+00,2.1928E+02,6.5027E-01,8.9092E+02,3.8657E-01,5.8748E-02
120.2666667,123.2,7.1365E+00,1.6964E+00,2.1883E+02,6.4283E-01,8.8925E+02,3.8206E-01,5.8019E-02
123.2,126.1333333,7.0873E+00,1.6811E+00,2.1789E+02,6.3542E-01,8.8554E+02,3.7823E-01,5.7256E-02
126.1333333,129.0666667,7.0282E+00,1.6629E+00,2.1637E+02,6.2790E-01,8.7951E+02,3.7377E-01,5.6457E-02
129.0666667,132,6.9658E+00,1.6447E+00,2.1500E+02,6.1961E-01,8.7407E+02,3.6915E-01,5.5647E-02
132,134.9333333,6.9008E+00,1.6260E+00,2.1353E+02,6.1133E-01,8.6822E+02,3.6468E-01,5.4793E-02
134.9333333,137.8666667,6.8289E+00,1.6053E+00,2.1175E+02,6.0280E-01,8.6115E+02,3.5983E-01,5.3905E-02
137.8666667,140.8,6.7577E+00,1.5849E+00,2.1024E+02,5.9388E-01,8.5509E+02,3.5464E-01,5.3002E-02
140.8,143.7333333,6.6842E+00,1.5633E+00,2.0863E+02,5.8435E-01,8.4861E+02,3.4896E-01,5.2108E-02
143.7333333,146.6666667,6.6017E+00,1.5412E+00,2.0640E+02,5.7508E-01,8.3968E+02,3.4374E-01,5.1200E-02
146.6666667,149.6,6.5157E+00,1.5176E+00,2.0403E+02,5.6575E-01,8.3015E+02,3.3814E-01,5.0281E-02
149.6,152.5333333,6.4307E+00,1.4944E+00,2.0190E+02,5.5605E-01,8.2155E+02,3.3245E-01,4.9351E-02
152.5333333,155.4666667,6.3342E+00,1.4695E+00,1.9924E+02,5.4588E-01,8.1080E+02,3.2624E-01,4.8433E-02
155.4666667,158.4,6.2439E+00,1.4452E+00,1.9687E+02,5.3528E-01,8.0128E+02,3.2042E-01,4.7501E-02
158.4,161.3333333,6.1482E+00,1.4215E+00,1.9419E+02,5.2583E-01,7.9043E+02,3.1496E-01,4.6562E-02
161.3333333,164.2666667,6.0542E+00,1.3961E+00,1.9178E+02,5.1520E-01,7.8075E+02,3.0887E-01,4.5656E-02
164.2666667,167.2,5.9585E+00,1.3716E+00,1.8923E+02,5.0534E-01,7.7050E+02,3.0335E-01,4.4715E-02
167.2,170.1333333,5.8537E+00,1.3458E+00,1.8603E+02,4.9502E-01,7.5753E+02,2.9744E-01,4.3797E-02
170.1333333,173.0666667,5.7570E+00,1.3207E+00,1.8343E+02,4.8504E-01,7.4700E+02,2.9146E-01,4.2891E-02
173.0666667,176,5.6588E+00,1.2961E+00,1.8077E+02,4.7464E-01,7.3623E+02,2.8557E-01,4.1988E-02
176,178.9333333,5.5552E+00,1.2699E+00,1.7764E+02,4.6471E-01,7.2358E+02,2.7955E-01,4.1071E-02
178.9333333,181.8666667,5.4564E+00,1.2450E+00,1.7495E+02,4.5503E-01,7.1270E+02,2.7380E-01,4.0154E-02
181.8666667,184.8,5.3512E+00,1.2202E+00,1.7176E+02,4.4516E-01,6.9971E+02,2.6843E-01,3.9258E-02
184.8,187.7333333,5.2475E+00,1.1946E+00,1.6864E+02,4.3527E-01,6.8712E+02,2.6256E-01,3.8396E-02
187.7333333,190.6666667,5.1427E+00,1.1696E+00,1.6544E+02,4.2582E-01,6.7412E+02,2.5682E-01,3.7546E-02
190.6666667,193.6,5.0372E+00,1.1447E+00,1.6216E+02,4.1629E-01,6.6078E+02,2.5113E-01,3.6678E-02
193.6,196.5333333,4.9340E+00,1.1202E+00,1.5917E+02,4.0713E-01,6.4865E+02,2.4547E-01,3.5842E-02
196.5333333,199.4666667,4.8340E+00,1.0957E+00,1.5628E+02,3.9726E-01,6.3690E+02,2.3986E-01,3.4999E-02
199.4666667,202.4,4.7364E+00,1.0719E+00,1.5335E+02,3.8846E-01,6.2495E+02,2.3447E-01,3.4202E-02
202.4,205.3333333,4.6376E+00,1.0485E+00,1.5046E+02,3.7992E-01,6.1326E+02,2.2913E-01,3.3407E-02
205.3333333,208.2666667,4.5362E+00,1.0244E+00,1.4720E+02,3.7099E-01,5.9999E+02,2.2367E-01,3.2593E-02
208.2666667,211.2,4.4407E+00,1.0021E+00,1.4425E+02,3.6251E-01,5.8804E+02,2.1867E-01,3.1784E-02
211.2,214.1333333,4.3434E+00,9.7894E-01,1.4119E+02,3.5377E-01,5.7558E+02,2.1344E-01,3.1017E-02
214.1333333,217.0666667,4.2478E+00,9.5651E-01,1.3826E+02,3.4489E-01,5.6372E+02,2.0838E-01,3.0290E-02
217.0666667,220,4.1553E+00,9.3477E-01,1.3543E+02,3.3700E-01,5.5217E+02,2.0362E-01,2.9549E-02
220,222.9333333,4.0565E+00,9.1225E-01,1.3236E+02,3.2848E-01,5.3966E+02,1.9857E-01,2.8838E-02
222.9333333,225.8666667,3.9669E+00,8.9064E-01,1.2948E+02,3.2048E-01,5.2794E+02,1.9367E-01,2.8110E-02
225.8666667,228.8,3.8774E+00,8.6948E-01,1.2680E+02,3.1264E-01,5.1704E+02,1.8886E-01,2.7418E-02
228.8,231.7333333,3.7872E+00,8.4920E-01,1.2396E+02,3.0500E-01,5.0548E+02,1.8446E-01,2.6741E-02
231.7333333,234.6666667,3.6974E+00,8.2885E-01,1.2120E+02,2.9762E-01,4.9426E+02,1.8011E-01,2.6083E-02
234.6666667,237.6,3.6125E+00,8.0875E-01,1.1866E+02,2.9014E-01,4.8398E+02,1.7552E-01,2.5433E-02
237.6,240.5333333,3.5260E+00,7.8915E-01,1.1582E+02,2.8285E-01,4.7239E+02,1.7133E-01,2.4790E-02
240.5333333,243.4666667,3.4443E+00,7.6985E-01,1.1335E+02,2.7564E-01,4.6236E+02,1.6692E-01,2.4134E-02
243.4666667,246.4,3.3576E+00,7.5001E-01,1.1040E+02,2.6834E-01,4.5033E+02,1.6261E-01,2.3510E-02
246.4,249.3333333,3.2795E+00,7.3195E-01,1.0785E+02,2.6207E-01,4.4001E+02,1.5871E-01,2.2899E-02
249.3333333,252.2666667,3.1993E+00,7.1361E-01,1.0527E+02,2.5547E-01,4.2945E+02,1.5454E-01,2.2325E-02
252.2666667,255.2,3.1202E+00,6.9558E-01,1.0282E+02,2.4830E-01,4.1949E+02,1.5051E-01,2.1758E-02
255.2,258.1333333,3.0408E+00,6.7781E-01,1.0020E+02,2.4216E-01,4.0882E+02,1.4660E-01,2.1184E-02
258.1333333,261.0666667,2.9649E+00,6.6097E-01,9.7734E+01,2.3559E-01,3.9875E+02,1.4298E-01,2.0630E-02
261.0666667,264,2.8884E+00,6.4321E-01,9.5241E+01,2.2945E-01,3.8858E+02,1.3899E-01,2.0081E-02
264,266.9333333,2.8135E+00,6.2658E-01,9.2810E+01,2.2368E-01,3.7867E+02,1.3554E-01,1.9547E-02
266.9333333,269.8666667,2.7403E+00,6.1005E-01,9.0382E+01,2.1748E-01,3.6875E+02,1.3191E-01,1.9053E-02
269.8666667,272.8,2.6724E+00,5.9397E-01,8.8328E+01,2.1176E-01,3.6036E+02,1.2817E-01,1.8550E-02
272.8,275.7333333,2.6072E+00,5.7875E-01,8.6334E+01,2.0640E-01,3.5224E+02,1.2490E-01,1.8053E-02
275.7333333,278.6666667,2.5405E+00,5.6393E-01,8.4170E+01,2.0085E-01,3.4343E+02,1.2169E-01,1.7568E-02
278.6666667,281.6,2.4764E+00,5.4963E-01,8.2071E+01,1.9572E-01,3.3492E+02,1.1856E-01,1.7102E-02
281.6,284.5333333,2.4116E+00,5.3498E-01,7.9894E+01,1.9070E-01,3.2599E+02,1.1535E-01,1.6623E-02
284.5333333,287.4666667,2.3495E+00,5.2131E-01,7.7835E+01,1.8558E-01,3.1760E+02,1.1246E-01,1.6208E-02
287.4666667,290.4,2.2876E+00,5.0757E-01,7.5811E+01,1.8029E-01,3.0938E+02,1.0942E-01,1.5772E-02
290.4,293.3333333,2.2286E+00,4.9422E-01,7.3913E+01,1.7519E-01,3.0164E+02,1.0660E-01,1.5351E-02
*,*,*,*,Apollo-15,*,*,*,*
0,5.166667,4.8715E-01,1.3805E-01,1.1360E+01,5.9639E-02,4.5494E+01,3.4011E-02,6.2415E-03
5.166667,10.333333,1.0903E+00,3.0447E-01,2.6300E+01,1.3022E-01,1.0548E+02,7.4727E-02,1.3447E-02
10.333333,15.5,1.6554E+00,4.6072E-01,4.0160E+01,1.9636E-01,1.6112E+02,1.1289E-01,2.0092E-02
15.5,20.666667,2.2052E+00,6.1180E-01,5.3656E+01,2.6013E-01,2.1530E+02,1.4959E-01,2.6411E-02
20.666667,25.833333,2.7327E+00,7.5555E-01,6.6642E+01,3.2090E-01,2.6745E+02,1.8447E-01,3.2300E-02
25.833333,31,3.2363E+00,8.9167E-01,7.9368E+01,3.7774E-01,3.1867E+02,2.1728E-01,3.7758E-02
31,36.166667,3.7147E+00,1.0194E+00,9.1462E+01,4.3114E-01,3.6733E+02,2.4797E-01,4.2738E-02
36.166667,41.333333,4.1633E+00,1.1383E+00,1.0308E+02,4.7947E-01,4.1417E+02,2.7663E-01,4.7238E-02
41.333333,46.5,4.5782E+00,1.2464E+00,1.1365E+02,5.2403E-01,4.5671E+02,3.0246E-01,5.1231E-02
46.5,51.666667,4.9619E+00,1.3451E+00,1.2358E+02,5.6435E-01,4.9663E+02,3.2602E-01,5.4668E-02
51.666667,56.833333,5.3045E+00,1.4307E+00,1.3287E+02,5.9841E-01,5.3422E+02,3.4588E-01,5.7560E-02
56.833333,62,5.6093E+00,1.5061E+00,1.4117E+02,6.2689E-01,5.6791E+02,3.6360E-01,5.9970E-02
62,67.166667,5.8867E+00,1.5719E+00,1.4914E+02,6.5242E-01,6.0019E+02,3.7862E-01,6.1921E-02
67.166667,72.333333,6.1242E+00,1.6265E+00,1.5615E+02,6.7287E-01,6.2864E+02,3.9126E-01,6.3462E-02
72.333333,77.5,6.3173E+00,1.6696E+00,1.6204E+02,6.8801E-01,6.5261E+02,4.0077E-01,6.4490E-02
77.5,82.666667,6.4736E+00,1.7025E+00,1.6699E+02,6.9933E-01,6.7278E+02,4.0784E-01,6.5189E-02
82.666667,87.833333,6.5997E+00,1.7259E+00,1.7129E+02,7.0606E-01,6.9041E+02,4.1227E-01,6.5484E-02
87.833333,93,6.6905E+00,1.7423E+00,1.7459E+02,7.0988E-01,7.0396E+02,4.1553E-01,6.5467E-02
93,98.166667,6.7626E+00,1.7498E+00,1.7755E+02,7.1043E-01,7.1616E+02,4.1629E-01,6.5130E-02
98.166667,103.333333,6.7891E+00,1.7484E+00,1.7884E+02,7.0754E-01,7.2162E+02,4.1500E-01,6.4526E-02
103.333333,108.5,6.7909E+00,1.7410E+00,1.8009E+02,7.0194E-01,7.2699E+02,4.1244E-01,6.3737E-02
108.5,113.666667,6.7777E+00,1.7290E+00,1.8079E+02,6.9371E-01,7.3011E+02,4.0885E-01,6.2817E-02
113.666667,118.833333,6.7454E+00,1.7108E+00,1.8123E+02,6.8371E-01,7.3214E+02,4.0332E-01,6.1630E-02
118.833333,124,6.6781E+00,1.6869E+00,1.8032E+02,6.7225E-01,7.2864E+02,3.9696E-01,6.0407E-02
124,129.166667,6.6029E+00,1.6602E+00,1.7921E+02,6.5846E-01,7.2442E+02,3.8993E-01,5.8977E-02
129.166667,134.333333,6.4994E+00,1.6275E+00,1.7715E+02,6.4399E-01,7.1627E+02,3.8142E-01,5.7476E-02
134.333333,139.5,6.3976E+00,1.5939E+00,1.7536E+02,6.2891E-01,7.0935E+02,3.7257E-01,5.5914E-02
139.5,144.666667,6.2687E+00,1.5562E+00,1.7232E+02,6.1268E-01,6.9725E+02,3.6312E-01,5.4327E-02
144.666667,149.833333,6.1361E+00,1.5183E+00,1.6955E+02,5.9549E-01,6.8629E+02,3.5382E-01,5.2684E-02
149.833333,155,5.9887E+00,1.4767E+00,1.6617E+02,5.7765E-01,6.7279E+02,3.4359E-01,5.0992E-02
155,160.166667,5.8367E+00,1.4336E+00,1.6277E+02,5.5907E-01,6.5920E+02,3.3269E-01,4.9319E-02
160.166667,165.333333,5.6843E+00,1.3908E+00,1.5924E+02,5.4093E-01,6.4513E+02,3.2209E-01,4.7667E-02
165.333333,170.5,5.5213E+00,1.3470E+00,1.5506E+02,5.2332E-01,6.2834E+02,3.1162E-01,4.6001E-02
170.5,175.666667,5.3566E+00,1.3040E+00,1.5093E+02,5.0490E-01,6.1165E+02,3.0136E-01,4.4319E-02
175.666667,180.833333,5.1904E+00,1.2601E+00,1.4672E+02,4.8692E-01,5.9473E+02,2.9098E-01,4.2639E-02
180.833333,186,5.0227E+00,1.2158E+00,1.4245E+02,4.6910E-01,5.7754E+02,2.8020E-01,4.1016E-02
186,191.166667,4.8567E+00,1.1735E+00,1.3836E+02,4.5095E-01,5.6109E+02,2.6996E-01,3.9464E-02
191.166667,196.333333,4.6888E+00,1.1298E+00,1.3401E+02,4.3321E-01,5.4353E+02,2.5946E-01,3.7902E-02
196.333333,201.5,4.5206E+00,1.0867E+00,1.2944E+02,4.1592E-01,5.2510E+02,2.4928E-01,3.6392E-02
201.5,206.666667,4.3597E+00,1.0460E+00,1.2518E+02,3.9933E-01,5.0796E+02,2.3978E-01,3.4918E-02
206.666667,211.833333,4.1991E+00,1.0052E+00,1.2083E+02,3.8355E-01,4.9028E+02,2.3005E-01,3.3453E-02
211.833333,217,4.0352E+00,9.6489E-01,1.1623E+02,3.6786E-01,4.7167E+02,2.2076E-01,3.2051E-02
217,222.166667,3.8761E+00,9.2554E-01,1.1183E+02,3.5275E-01,4.5386E+02,2.1148E-01,3.0729E-02
222.166667,227.333333,3.7274E+00,8.8789E-01,1.0788E+02,3.3786E-01,4.3783E+02,2.0258E-01,2.9393E-02
227.333333,232.5,3.5771E+00,8.5131E-01,1.0389E+02,3.2318E-01,4.2169E+02,1.9416E-01,2.8111E-02
232.5,237.666667,3.4283E+00,8.1519E-01,9.9603E+01,3.0894E-01,4.0436E+02,1.8578E-01,2.6910E-02
237.666667,242.833333,3.2873E+00,7.8069E-01,9.5652E+01,2.9632E-01,3.8838E+02,1.7769E-01,2.5768E-02
242.833333,248,3.1486E+00,7.4730E-01,9.1687E+01,2.8291E-01,3.7234E+02,1.7000E-01,2.4628E-02
248,253.166667,3.0141E+00,7.1393E-01,8.7825E+01,2.7059E-01,3.5664E+02,1.6225E-01,2.3508E-02
253.166667,258.333333,2.8839E+00,6.8306E-01,8.4122E+01,2.5828E-01,3.4163E+02,1.5530E-01,2.2436E-02
258.333333,263.5,2.7611E+00,6.5316E-01,8.0776E+01,2.4684E-01,3.2809E+02,1.4836E-01,2.1410E-02
263.5,268.666667,2.6405E+00,6.2497E-01,7.7286E+01,2.3624E-01,3.1390E+02,1.4203E-01,2.0450E-02
268.666667,273.833333,2.5230E+00,5.9620E-01,7.4003E+01,2.2519E-01,3.0061E+02,1.3524E-01,1.9519E-02
273.833333,279,2.4151E+00,5.6977E-01,7.0858E+01,2.1515E-01,2.8788E+02,1.2917E-01,1.8635E-02
279,284.166667,2.3046E+00,5.4346E-01,6.7594E+01,2.0517E-01,2.7463E+02,1.2332E-01,1.7763E-02
284.166667,289.333333,2.1999E+00,5.1837E-01,6.4589E+01,1.9541E-01,2.6241E+02,1.1762E-01,1.6927E-02
289.333333,294.5,2.0998E+00,4.9466E-01,6.1823E+01,1.8576E-01,2.5119E+02,1.1222E-01,1.6118E-02
294.5,299.666667,2.0088E+00,4.7241E-01,5.9239E+01,1.7763E-01,2.4067E+02,1.0693E-01,1.5364E-02
299.666667,304.833333,1.9153E+00,4.5034E-01,5.6408E+01,1.6951E-01,2.2918E+02,1.0200E-01,1.4633E-02
304.833333,310,1.8275E+00,4.2911E-01,5.3918E+01,1.6117E-01,2.1914E+02,9.7198E-02,1.3956E-02
310,315.166667,1.7427E+00,4.0950E-01,5.1410E+01,1.5393E-01,2.0892E+02,9.2666E-02,1.3310E-02
315.166667,320.333333,1.6601E+00,3.9021E-01,4.8833E+01,1.4665E-01,1.9846E+02,8.8333E-02,1.2660E-02
320.333333,325.5,1.5864E+00,3.7218E-01,4.6826E+01,1.3995E-01,1.9032E+02,8.4031E-02,1.2094E-02
325.5,330.666667,1.5118E+00,3.5455E-01,4.4602E+01,1.3317E-01,1.8128E+02,8.0080E-02,1.1526E-02
330.666667,335.833333,1.4423E+00,3.3760E-01,4.2575E+01,1.2682E-01,1.7305E+02,7.6108E-02,1.0960E-02
335.833333,341,1.3688E+00,3.2085E-01,4.0365E+01,1.2032E-01,1.6406E+02,7.2417E-02,1.0433E-02
341,346.166667,1.3027E+00,3.0522E-01,3.8390E+01,1.1436E-01,1.5601E+02,6.8810E-02,9.9209E-03
346.166667,351.333333,1.2424E+00,2.9094E-01,3.6726E+01,1.0902E-01,1.4927E+02,6.5663E-02,9.4420E-03
351.333333,356.5,1.1865E+00,2.7705E-01,3.5255E+01,1.0359E-01,1.4329E+02,6.2368E-02,8.9746E-03
356.5,361.666667,1.1264E+00,2.6377E-01,3.3364E+01,9.8579E-02,1.3560E+02,5.9576E-02,8.5502E-03
361.666667,366.833333,1.0710E+00,2.5056E-01,3.1728E+01,9.3942E-02,1.2892E+02,5.6523E-02,8.1300E-03
366.833333,372,1.0201E+00,2.3910E-01,3.0272E+01,8.9538E-02,1.2302E+02,5.4040E-02,7.7290E-03
372,377.166667,9.6997E-01,2.2724E-01,2.8774E+01,8.5089E-02,1.1695E+02,5.1309E-02,7.3625E-03
377.166667,382.333333,9.2154E-01,2.1604E-01,2.7243E+01,8.1124E-02,1.1072E+02,4.8808E-02,6.9991E-03
382.333333,387.5,8.7620E-01,2.0544E-01,2.5884E+01,7.7347E-02,1.0520E+02,4.6438E-02,6.6555E-03
387.5,392.666667,8.3345E-01,1.9523E-01,2.4660E+01,7.3158E-02,1.0023E+02,4.4051E-02,6.3226E-03
392.666667,397.833333,7.9408E-01,1.8586E-01,2.3531E+01,6.9584E-02,9.5647E+01,4.1985E-02,6.0049E-03
397.833333,403,7.5563E-01,1.7662E-01,2.2418E+01,6.6148E-02,9.1134E+01,3.9862E-02,5.6988E-03
403,408.166667,7.1878E-01,1.6806E-01,2.1311E+01,6.2897E-02,8.6624E+01,3.7926E-02,5.4198E-03
408.166667,413.333333,6.8106E-01,1.5961E-01,2.0203E+01,5.9667E-02,8.2119E+01,3.6089E-02,5.1480E-03
413.333333,418.5,6.4924E-01,1.5166E-01,1.9257E+01,5.6663E-02,7.8297E+01,3.4178E-02,4.9001E-03
418.5,423.666667,6.1692E-01,1.4407E-01,1.8310E+01,5.3801E-02,7.4442E+01,3.2505E-02,4.6577E-03
423.666667,428.833333,5.8657E-01,1.3707E-01,1.7458E+01,5.1094E-02,7.0996E+01,3.0927E-02,4.4244E-03
428.833333,434,5.5801E-01,1.3027E-01,1.6627E+01,4.8491E-02,6.7620E+01,2.9366E-02,4.2090E-03
434,439.166667,5.2900E-01,1.2382E-01,1.5744E+01,4.5978E-02,6.4027E+01,2.7947E-02,3.9994E-03
439.166667,444.333333,5.0390E-01,1.1767E-01,1.4974E+01,4.3751E-02,6.0909E+01,2.6536E-02,3.7985E-03
444.333333,449.5,4.7920E-01,1.1178E-01,1.4256E+01,4.1578E-02,5.7995E+01,2.5205E-02,3.5970E-03
449.5,454.666667,4.5659E-01,1.0639E-01,1.3656E+01,3.9713E-02,5.5547E+01,2.3958E-02,3.4234E-03
454.666667,459.833333,4.3356E-01,1.0083E-01,1.2949E+01,3.7751E-02,5.2659E+01,2.2644E-02,3.2566E-03
459.833333,465,4.1054E-01,9.5521E-02,1.2236E+01,3.5733E-02,4.9756E+01,2.1470E-02,3.0947E-03
