from,to,Gd-152,Gd-154,Gd-155,Gd-156,Gd-157,Gd-158,Gd-160
167.5,170,9.0454E+00,1.6506E+00,4.2225E+02,4.5663E-01,1.7303E+03,2.8375E-01,4.3185E-02
170,172.5,8.9278E+00,1.6265E+00,4.1738E+02,4.4856E-01,1.7104E+03,2.7906E-01,4.2445E-02
172.5,175,8.8043E+00,1.6020E+00,4.1204E+02,4.4121E-01,1.6885E+03,2.7449E-01,4.1675E-02
175,177.5,8.6858E+00,1.5776E+00,4.0695E+02,4.3301E-01,1.6678E+03,2.6986E-01,4.0940E-02
177.5,180,8.5558E+00,1.5514E+00,4.0117E+02,4.2501E-01,1.6442E+03,2.6480E-01,4.0201E-02
180,182.5,8.4367E+00,1.5272E+00,3.9629E+02,4.1731E-01,1.6241E+03,2.6009E-01,3.9454E-02
182.5,185,8.3196E+00,1.5036E+00,3.9136E+02,4.0968E-01,1.6039E+03,2.5546E-01,3.8744E-02
185,187.5,8.1934E+00,1.4786E+00,3.8591E+02,4.0196E-01,1.5817E+03,2.5076E-01,3.8023E-02
187.5,190,8.0705E+00,1.4547E+00,3.8059E+02,3.9491E-01,1.5599E+03,2.4646E-01,3.7288E-02
190,192.5,7.9406E+00,1.4301E+00,3.7473E+02,3.8740E-01,1.5359E+03,2.4203E-01,3.6569E-02
192.5,195,7.8160E+00,1.4060E+00,3.6928E+02,3.8003E-01,1.5136E+03,2.3753E-01,3.5887E-02
195,197.5,7.6903E+00,1.3814E+00,3.6364E+02,3.7267E-01,1.4905E+03,2.3304E-01,3.5191E-02
197.5,200,7.5554E+00,1.3559E+00,3.5760E+02,3.6513E-01,1.4658E+03,2.2846E-01,3.4486E-02
200,202.5,7.4339E+00,1.3323E+00,3.5231E+02,3.5778E-01,1.4441E+03,2.2413E-01,3.3788E-02
202.5,205,7.3066E+00,1.3079E+00,3.4658E+02,3.5076E-01,1.4207E+03,2.1972E-01,3.3090E-02
205,207.5,7.1797E+00,1.2841E+00,3.4092E+02,3.4376E-01,1.3976E+03,2.1538E-01,3.2430E-02
207.5,210,7.0511E+00,1.2598E+00,3.3509E+02,3.3669E-01,1.3737E+03,2.1089E-01,3.1788E-02
210,212.5,6.9269E+00,1.2364E+00,3.2948E+02,3.3011E-01,1.3507E+03,2.0664E-01,3.1148E-02
212.5,215,6.8097E+00,1.2141E+00,3.2425E+02,3.2334E-01,1.3293E+03,2.0274E-01,3.0529E-02
215,217.5,6.6910E+00,1.1908E+00,3.1898E+02,3.1679E-01,1.3077E+03,1.9847E-01,2.9904E-02
217.5,220,6.5665E+00,1.1675E+00,3.1321E+02,3.1034E-01,1.2841E+03,1.9436E-01,2.9290E-02
220,222.5,6.4458E+00,1.1450E+00,3.0780E+02,3.0356E-01,1.2620E+03,1.9023E-01,2.8686E-02
222.5,225,6.3246E+00,1.1228E+00,3.0225E+02,2.9710E-01,1.2393E+03,1.8638E-01,2.8079E-02
225,227.5,6.1991E+00,1.1001E+00,2.9633E+02,2.9106E-01,1.2150E+03,1.8260E-01,2.7496E-02
